NC_006583.3 chr1
NW_003728303.1 chrUn_AAEX03024982
NW_003728304.1 chrUn_AAEX03024983
NW_003728306.1 chrUn_AAEX03024986
NW_003728307.1 chrUn_AAEX03024987
NW_003728308.1 chrUn_AAEX03024988
NW_003728309.1 chrUn_AAEX03024989
NW_003728310.1 chrUn_AAEX03024990
NW_003728311.1 chrUn_AAEX03024991
NW_003728313.1 chrUn_AAEX03024994
NW_003728314.1 chrUn_AAEX03024995
NW_003728315.1 chrUn_AAEX03024996
NW_003728316.1 chrUn_AAEX03024997
NW_003728317.1 chrUn_AAEX03024998
NW_003728318.1 chrUn_AAEX03024999
NW_003728319.1 chrUn_AAEX03025000
NW_003728320.1 chrUn_AAEX03025001
NW_003728321.1 chrUn_AAEX03025002
NW_003728322.1 chrUn_AAEX03025003
NW_003728323.1 chrUn_AAEX03025004
NW_003728324.1 chrUn_AAEX03025005
NW_003728325.1 chrUn_AAEX03025006
NW_003728326.1 chrUn_AAEX03025007
NW_003728329.1 chrUn_AAEX03025012
NW_003728330.1 chrUn_AAEX03025013
NW_003728332.1 chrUn_AAEX03025016
NW_003728333.1 chrUn_AAEX03025017
NW_003728334.1 chrUn_AAEX03025018
NW_003728335.1 chrUn_AAEX03025019
NW_003728336.1 chrUn_AAEX03025020
NW_003728337.1 chrUn_AAEX03025021
NW_003728338.1 chrUn_AAEX03025022
NW_003728339.1 chrUn_AAEX03025023
NW_003728340.1 chrUn_AAEX03025024
NW_003728341.1 chrUn_AAEX03025025
NW_003728342.1 chrUn_AAEX03025026
NW_003728343.1 chrUn_AAEX03025027
NW_003728344.1 chrUn_AAEX03025028
NW_003728345.1 chrUn_AAEX03025029
NW_003728346.1 chrUn_AAEX03025030
NW_003728347.1 chrUn_AAEX03025031
NW_003728348.1 chrUn_AAEX03025032
NW_003728349.1 chrUn_AAEX03025033
NW_003728350.1 chrUn_AAEX03025034
NW_003728351.1 chrUn_AAEX03025035
NW_003728352.1 chrUn_AAEX03025036
NW_003728353.1 chrUn_AAEX03025037
NW_003728354.1 chrUn_AAEX03025038
NW_003728355.1 chrUn_AAEX03025039
NW_003728356.1 chrUn_AAEX03025040
NW_003728357.1 chrUn_AAEX03025041
NW_003728360.1 chrUn_AAEX03025046
NW_003728361.1 chrUn_AAEX03025047
NW_003728362.1 chrUn_AAEX03025048
NW_003728363.1 chrUn_AAEX03025049
NW_003728364.1 chrUn_AAEX03025050
NW_003728366.1 chrUn_AAEX03025053
NW_003728367.1 chrUn_AAEX03025054
NW_003728368.1 chrUn_AAEX03025055
NW_003728369.1 chrUn_AAEX03025056
NW_003728370.1 chrUn_AAEX03025057
NW_003728371.1 chrUn_AAEX03025058
NW_003728372.1 chrUn_AAEX03025059
NW_003728373.1 chrUn_AAEX03025060
NW_003728374.1 chrUn_AAEX03025061
NW_003728375.1 chrUn_AAEX03025062
NW_003728376.1 chrUn_AAEX03025063
NW_003728377.1 chrUn_AAEX03025064
NW_003728378.1 chrUn_AAEX03025065
NW_003728379.1 chrUn_AAEX03025066
NW_003728380.1 chrUn_AAEX03025067
NW_003728383.1 chrUn_AAEX03025074
NW_003728384.1 chrUn_AAEX03025075
NW_003728385.1 chrUn_AAEX03025076
NW_003728386.1 chrUn_AAEX03025077
NW_003728387.1 chrUn_AAEX03025078
NW_003728388.1 chrUn_AAEX03025079
NW_003728389.1 chrUn_AAEX03025080
NW_003728390.1 chrUn_AAEX03025081
NW_003728391.1 chrUn_AAEX03025082
NW_003728392.1 chrUn_AAEX03025083
NW_003728393.1 chrUn_AAEX03025084
NW_003728394.1 chrUn_AAEX03025085
NW_003728395.1 chrUn_AAEX03025086
NW_003728396.1 chrUn_AAEX03025087
NW_003728397.1 chrUn_AAEX03025088
NW_003728398.1 chrUn_AAEX03025089
NW_003728399.1 chrUn_AAEX03025090
NW_003728400.1 chrUn_AAEX03025091
NW_003728401.1 chrUn_AAEX03025092
NW_003728402.1 chrUn_AAEX03025093
NW_003728403.1 chrUn_AAEX03025094
NW_003728404.1 chrUn_AAEX03025095
NW_003728405.1 chrUn_AAEX03025096
NW_003728406.1 chrUn_AAEX03025097
NW_003728407.1 chrUn_AAEX03025098
NW_003728409.1 chrUn_AAEX03025101
NW_003728410.1 chrUn_AAEX03025102
NW_003728411.1 chrUn_AAEX03025103
NW_003728412.1 chrUn_AAEX03025104
NW_003728413.1 chrUn_AAEX03025105
NW_003728414.1 chrUn_AAEX03025106
NW_003728415.1 chrUn_AAEX03025107
NW_003728416.1 chrUn_AAEX03025108
NW_003728417.1 chrUn_AAEX03025109
NW_003728418.1 chrUn_AAEX03025110
NW_003728420.1 chrUn_AAEX03025114
NW_003728421.1 chrUn_AAEX03025115
NW_003728422.1 chrUn_AAEX03025116
NW_003728423.1 chrUn_AAEX03025117
NW_003728424.1 chrUn_AAEX03025118
NW_003728425.1 chrUn_AAEX03025119
NW_003728426.1 chrUn_AAEX03025120
NW_003728427.1 chrUn_AAEX03025121
NW_003728428.1 chrUn_AAEX03025122
NW_003728429.1 chrUn_AAEX03025123
NW_003728430.1 chrUn_AAEX03025124
NW_003728431.1 chrUn_AAEX03025125
NW_003728432.1 chrUn_AAEX03025126
NW_003728433.1 chrUn_AAEX03025127
NW_003728434.1 chrUn_AAEX03025128
NW_003728435.1 chrUn_AAEX03025129
NW_003728436.1 chrUn_AAEX03025130
NW_003728437.1 chrUn_AAEX03025131
NW_003728438.1 chrUn_AAEX03025132
NW_003728439.1 chrUn_AAEX03025133
NW_003728440.1 chrUn_AAEX03025134
NW_003728441.1 chrUn_AAEX03025135
NW_003728442.1 chrUn_AAEX03025136
NW_003728443.1 chrUn_AAEX03025137
NW_003728444.1 chrUn_AAEX03025138
NW_003728445.1 chrUn_AAEX03025139
NW_003728446.1 chrUn_AAEX03025140
NW_003728447.1 chrUn_AAEX03025141
NW_003728448.1 chrUn_AAEX03025142
NW_003728449.1 chrUn_AAEX03025143
NW_003728450.1 chrUn_AAEX03025144
NW_003728451.1 chrUn_AAEX03025145
NW_003728452.1 chrUn_AAEX03025146
NW_003728453.1 chrUn_AAEX03025147
NW_003728454.1 chrUn_AAEX03025148
NW_003728455.1 chrUn_AAEX03025149
NW_003728456.1 chrUn_AAEX03025150
NW_003728457.1 chrUn_AAEX03025151
NW_003728459.1 chrUn_AAEX03025154
NW_003728460.1 chrUn_AAEX03025155
NW_003728461.1 chrUn_AAEX03025156
NW_003728462.1 chrUn_AAEX03025157
NW_003728463.1 chrUn_AAEX03025158
NW_003728464.1 chrUn_AAEX03025159
NW_003728465.1 chrUn_AAEX03025160
NW_003728466.1 chrUn_AAEX03025161
NW_003728467.1 chrUn_AAEX03025162
NW_003728468.1 chrUn_AAEX03025163
NW_003728469.1 chrUn_AAEX03025164
NW_003728470.1 chrUn_AAEX03025165
NW_003728471.1 chrUn_AAEX03025166
NW_003728472.1 chrUn_AAEX03025167
NW_003728473.1 chrUn_AAEX03025168
NW_003728474.1 chrUn_AAEX03025169
NW_003728475.1 chrUn_AAEX03025170
NW_003728476.1 chrUn_AAEX03025171
NW_003728477.1 chrUn_AAEX03025172
NW_003728478.1 chrUn_AAEX03025173
NW_003728479.1 chrUn_AAEX03025174
NW_003728480.1 chrUn_AAEX03025175
NW_003728481.1 chrUn_AAEX03025176
NW_003728482.1 chrUn_AAEX03025177
NW_003728483.1 chrUn_AAEX03025178
NW_003728484.1 chrUn_AAEX03025179
NW_003728485.1 chrUn_AAEX03025180
NW_003728486.1 chrUn_AAEX03025181
NW_003728489.1 chrUn_AAEX03025186
NW_003728490.1 chrUn_AAEX03025187
NW_003728491.1 chrUn_AAEX03025188
NW_003728492.1 chrUn_AAEX03025189
NW_003728493.1 chrUn_AAEX03025190
NW_003728494.1 chrUn_AAEX03025191
NW_003728495.1 chrUn_AAEX03025192
NW_003728496.1 chrUn_AAEX03025193
NW_003728497.1 chrUn_AAEX03025194
NW_003728498.1 chrUn_AAEX03025195
NW_003728499.1 chrUn_AAEX03025196
NW_003728500.1 chrUn_AAEX03025197
NW_003728501.1 chrUn_AAEX03025198
NW_003728502.1 chrUn_AAEX03025199
NW_003728504.1 chrUn_AAEX03025202
NW_003728505.1 chrUn_AAEX03025203
NW_003728506.1 chrUn_AAEX03025204
NW_003728507.1 chrUn_AAEX03025205
NW_003728508.1 chrUn_AAEX03025206
NW_003728509.1 chrUn_AAEX03025207
NW_003728510.1 chrUn_AAEX03025208
NW_003728511.1 chrUn_AAEX03025209
NW_003728512.1 chrUn_AAEX03025210
NW_003728513.1 chrUn_AAEX03025211
NW_003728515.1 chrUn_AAEX03025214
NW_003728516.1 chrUn_AAEX03025215
NW_003728517.1 chrUn_AAEX03025216
NW_003728518.1 chrUn_AAEX03025217
NW_003728520.1 chrUn_AAEX03025220
NW_003728521.1 chrUn_AAEX03025221
NW_003728522.1 chrUn_AAEX03025222
NW_003728523.1 chrUn_AAEX03025223
NW_003728524.1 chrUn_AAEX03025224
NW_003728525.1 chrUn_AAEX03025225
NW_003728526.1 chrUn_AAEX03025226
NW_003728527.1 chrUn_AAEX03025227
NW_003728528.1 chrUn_AAEX03025228
NW_003728530.1 chrUn_AAEX03025231
NW_003728531.1 chrUn_AAEX03025232
NW_003728532.1 chrUn_AAEX03025233
NW_003728533.1 chrUn_AAEX03025234
NW_003728534.1 chrUn_AAEX03025235
NW_003728535.1 chrUn_AAEX03025236
NW_003728536.1 chrUn_AAEX03025237
NW_003728537.1 chrUn_AAEX03025238
NW_003728538.1 chrUn_AAEX03025239
NW_003728539.1 chrUn_AAEX03025240
NW_003728540.1 chrUn_AAEX03025241
NW_003728541.1 chrUn_AAEX03025242
NW_003728542.1 chrUn_AAEX03025243
NW_003728544.1 chrUn_AAEX03025246
NW_003728545.1 chrUn_AAEX03025247
NW_003728546.1 chrUn_AAEX03025248
NW_003728547.1 chrUn_AAEX03025249
NW_003728548.1 chrUn_AAEX03025250
NW_003728549.1 chrUn_AAEX03025251
NW_003728550.1 chrUn_AAEX03025252
NW_003728551.1 chrUn_AAEX03025253
NW_003728552.1 chrUn_AAEX03025254
NW_003728553.1 chrUn_AAEX03025255
NW_003728554.1 chrUn_AAEX03025256
NW_003728555.1 chrUn_AAEX03025257
NW_003728556.1 chrUn_AAEX03025258
NW_003728557.1 chrUn_AAEX03025259
NW_003728558.1 chrUn_AAEX03025260
NW_003728559.1 chrUn_AAEX03025261
NW_003728560.1 chrUn_AAEX03025262
NW_003728561.1 chrUn_AAEX03025263
NW_003728562.1 chrUn_AAEX03025264
NW_003728563.1 chrUn_AAEX03025265
NW_003728564.1 chrUn_AAEX03025266
NW_003728565.1 chrUn_AAEX03025267
NW_003728566.1 chrUn_AAEX03025268
NW_003728567.1 chrUn_AAEX03025269
NW_003728568.1 chrUn_AAEX03025270
NW_003728569.1 chrUn_AAEX03025271
NW_003728570.1 chrUn_AAEX03025272
NW_003728571.1 chrUn_AAEX03025273
NW_003728572.1 chrUn_AAEX03025274
NW_003728573.1 chrUn_AAEX03025275
NW_003728574.1 chrUn_AAEX03025276
NW_003728575.1 chrUn_AAEX03025277
NW_003728576.1 chrUn_AAEX03025278
NW_003728577.1 chrUn_AAEX03025279
NW_003728578.1 chrUn_AAEX03025280
NW_003728579.1 chrUn_AAEX03025281
NW_003728580.1 chrUn_AAEX03025282
NW_003728581.1 chrUn_AAEX03025283
NW_003728582.1 chrUn_AAEX03025284
NW_003728583.1 chrUn_AAEX03025285
NW_003728584.1 chrUn_AAEX03025286
NW_003728585.1 chrUn_AAEX03025287
NW_003728586.1 chrUn_AAEX03025288
NW_003728587.1 chrUn_AAEX03025289
NW_003728588.1 chrUn_AAEX03025290
NW_003728589.1 chrUn_AAEX03025291
NW_003728590.1 chrUn_AAEX03025292
NW_003728591.1 chrUn_AAEX03025293
NW_003728592.1 chrUn_AAEX03025294
NW_003728593.1 chrUn_AAEX03025295
NW_003728594.1 chrUn_AAEX03025296
NW_003728596.1 chrUn_AAEX03025299
NW_003728597.1 chrUn_AAEX03025300
NW_003728598.1 chrUn_AAEX03025301
NW_003728599.1 chrUn_AAEX03025302
NW_003728600.1 chrUn_AAEX03025303
NW_003728601.1 chrUn_AAEX03025304
NW_003728602.1 chrUn_AAEX03025305
NW_003728603.1 chrUn_AAEX03025306
NW_003728604.1 chrUn_AAEX03025307
NW_003728605.1 chrUn_AAEX03025308
NW_003728606.1 chrUn_AAEX03025309
NW_003728607.1 chrUn_AAEX03025310
NW_003728608.1 chrUn_AAEX03025311
NW_003728609.1 chrUn_AAEX03025312
NW_003728610.1 chrUn_AAEX03025313
NW_003728611.1 chrUn_AAEX03025314
NW_003728612.1 chrUn_AAEX03025315
NW_003728613.1 chrUn_AAEX03025316
NW_003728614.1 chrUn_AAEX03025317
NW_003728615.1 chrUn_AAEX03025318
NW_003728616.1 chrUn_AAEX03025319
NW_003728617.1 chrUn_AAEX03025320
NW_003728618.1 chrUn_AAEX03025321
NW_003728619.1 chrUn_AAEX03025322
NW_003728620.1 chrUn_AAEX03025323
NW_003728621.1 chrUn_AAEX03025324
NW_003728622.1 chrUn_AAEX03025325
NW_003728623.1 chrUn_AAEX03025326
NW_003728624.1 chrUn_AAEX03025327
NW_003728625.1 chrUn_AAEX03025328
NW_003728626.1 chrUn_AAEX03025329
NW_003728627.1 chrUn_AAEX03025330
NW_003728628.1 chrUn_AAEX03025331
NW_003728629.1 chrUn_AAEX03025332
NW_003728630.1 chrUn_AAEX03025333
NW_003728631.1 chrUn_AAEX03025334
NW_003728632.1 chrUn_AAEX03025335
NW_003728633.1 chrUn_AAEX03025336
NW_003728634.1 chrUn_AAEX03025337
NW_003728635.1 chrUn_AAEX03025338
NW_003728636.1 chrUn_AAEX03025339
NW_003728637.1 chrUn_AAEX03025340
NW_003728638.1 chrUn_AAEX03025341
NW_003728639.1 chrUn_AAEX03025342
NW_003728640.1 chrUn_AAEX03025343
NW_003728641.1 chrUn_AAEX03025344
NW_003728642.1 chrUn_AAEX03025345
NW_003728643.1 chrUn_AAEX03025346
NW_003728644.1 chrUn_AAEX03025347
NW_003728645.1 chrUn_AAEX03025348
NW_003728646.1 chrUn_AAEX03025349
NW_003728647.1 chrUn_AAEX03025350
NW_003728648.1 chrUn_AAEX03025351
NW_003728649.1 chrUn_AAEX03025352
NW_003728650.1 chrUn_AAEX03025353
NW_003728651.1 chrUn_AAEX03025354
NW_003728652.1 chrUn_AAEX03025355
NW_003728653.1 chrUn_AAEX03025356
NW_003728654.1 chrUn_AAEX03025357
NW_003728655.1 chrUn_AAEX03025358
NW_003728656.1 chrUn_AAEX03025359
NW_003728657.1 chrUn_AAEX03025360
NW_003728658.1 chrUn_AAEX03025361
NW_003728659.1 chrUn_AAEX03025362
NW_003728660.1 chrUn_AAEX03025363
NW_003728661.1 chrUn_AAEX03025364
NW_003728662.1 chrUn_AAEX03025365
NW_003728663.1 chrUn_AAEX03025366
NW_003728665.1 chrUn_AAEX03025369
NW_003728666.1 chrUn_AAEX03025370
NW_003728667.1 chrUn_AAEX03025371
NW_003728668.1 chrUn_AAEX03025372
NW_003728669.1 chrUn_AAEX03025373
NW_003728671.1 chrUn_AAEX03025376
NW_003728672.1 chrUn_AAEX03025377
NW_003728673.1 chrUn_AAEX03025378
NW_003728674.1 chrUn_AAEX03025379
NW_003728675.1 chrUn_AAEX03025380
NW_003728676.1 chrUn_AAEX03025381
NW_003728677.1 chrUn_AAEX03025382
NW_003728678.1 chrUn_AAEX03025383
NW_003728679.1 chrUn_AAEX03025384
NW_003728680.1 chrUn_AAEX03025385
NW_003728681.1 chrUn_AAEX03025386
NW_003728682.1 chrUn_AAEX03025387
NW_003728683.1 chrUn_AAEX03025388
NW_003728684.1 chrUn_AAEX03025389
NW_003728685.1 chrUn_AAEX03025390
NW_003728687.1 chrUn_AAEX03025394
NW_003728688.1 chrUn_AAEX03025395
NW_003728689.1 chrUn_AAEX03025396
NW_003728690.1 chrUn_AAEX03025397
NW_003728691.1 chrUn_AAEX03025398
NW_003728692.1 chrUn_AAEX03025399
NW_003728693.1 chrUn_AAEX03025400
NW_003728694.1 chrUn_AAEX03025401
NW_003728695.1 chrUn_AAEX03025402
NW_003728696.1 chrUn_AAEX03025403
NW_003728697.1 chrUn_AAEX03025404
NW_003728699.1 chrUn_AAEX03025407
NW_003728700.1 chrUn_AAEX03025408
NW_003728701.1 chrUn_AAEX03025409
NW_003728702.1 chrUn_AAEX03025410
NW_003728703.1 chrUn_AAEX03025411
NW_003728704.1 chrUn_AAEX03025412
NW_003728705.1 chrUn_AAEX03025413
NW_003728706.1 chrUn_AAEX03025414
NW_003728707.1 chrUn_AAEX03025415
NW_003728708.1 chrUn_AAEX03025416
NW_003728709.1 chrUn_AAEX03025417
NW_003728710.1 chrUn_AAEX03025418
NW_003728711.1 chrUn_AAEX03025419
NW_003728712.1 chrUn_AAEX03025420
NW_003728713.1 chrUn_AAEX03025421
NW_003728714.1 chrUn_AAEX03025422
NW_003728715.1 chrUn_AAEX03025423
NW_003728716.1 chrUn_AAEX03025424
NW_003728717.1 chrUn_AAEX03025425
NW_003728718.1 chrUn_AAEX03025426
NW_003728719.1 chrUn_AAEX03025427
NW_003728720.1 chrUn_AAEX03025428
NW_003728721.1 chrUn_AAEX03025429
NW_003728722.1 chrUn_AAEX03025430
NW_003728723.1 chrUn_AAEX03025431
NW_003728724.1 chrUn_AAEX03025432
NW_003728725.1 chrUn_AAEX03025433
NW_003728726.1 chrUn_AAEX03025434
NW_003728727.1 chrUn_AAEX03025435
NW_003728728.1 chrUn_AAEX03025436
NW_003728729.1 chrUn_AAEX03025437
NW_003728730.1 chrUn_AAEX03025438
NW_003728731.1 chrUn_AAEX03025439
NW_003728732.1 chrUn_AAEX03025440
NW_003728733.1 chrUn_AAEX03025441
NW_003728734.1 chrUn_AAEX03025442
NW_003728735.1 chrUn_AAEX03025443
NW_003728736.1 chrUn_AAEX03025444
NW_003728737.1 chrUn_AAEX03025445
NW_003728738.1 chrUn_AAEX03025446
NW_003728739.1 chrUn_AAEX03025447
NW_003728740.1 chrUn_AAEX03025448
NW_003728741.1 chrUn_AAEX03025449
NW_003728742.1 chrUn_AAEX03025450
NW_003728743.1 chrUn_AAEX03025451
NW_003728744.1 chrUn_AAEX03025452
NW_003728745.1 chrUn_AAEX03025453
NW_003728746.1 chrUn_AAEX03025454
NW_003728747.1 chrUn_AAEX03025455
NW_003728748.1 chrUn_AAEX03025456
NW_003728749.1 chrUn_AAEX03025457
NW_003728750.1 chrUn_AAEX03025458
NW_003728751.1 chrUn_AAEX03025459
NW_003728752.1 chrUn_AAEX03025460
NW_003728753.1 chrUn_AAEX03025461
NW_003728754.1 chrUn_AAEX03025462
NW_003728755.1 chrUn_AAEX03025463
NW_003728756.1 chrUn_AAEX03025464
NW_003728757.1 chrUn_AAEX03025465
NW_003728758.1 chrUn_AAEX03025466
NW_003728759.1 chrUn_AAEX03025467
NW_003728760.1 chrUn_AAEX03025468
NW_003728761.1 chrUn_AAEX03025469
NW_003728762.1 chrUn_AAEX03025470
NW_003728763.1 chrUn_AAEX03025471
NW_003728764.1 chrUn_AAEX03025472
NW_003728765.1 chrUn_AAEX03025473
NW_003728766.1 chrUn_AAEX03025474
NW_003728767.1 chrUn_AAEX03025475
NW_003728768.1 chrUn_AAEX03025476
NW_003728769.1 chrUn_AAEX03025477
NW_003728770.1 chrUn_AAEX03025478
NW_003728771.1 chrUn_AAEX03025479
NW_003728772.1 chrUn_AAEX03025480
NW_003728773.1 chrUn_AAEX03025481
NW_003728774.1 chrUn_AAEX03025482
NW_003728775.1 chrUn_AAEX03025483
NW_003728776.1 chrUn_AAEX03025484
NW_003728777.1 chrUn_AAEX03025485
NW_003728778.1 chrUn_AAEX03025486
NW_003728779.1 chrUn_AAEX03025487
NW_003728780.1 chrUn_AAEX03025488
NW_003728781.1 chrUn_AAEX03025489
NW_003728782.1 chrUn_AAEX03025490
NW_003728783.1 chrUn_AAEX03025491
NW_003728784.1 chrUn_AAEX03025492
NW_003728785.1 chrUn_AAEX03025493
NW_003728786.1 chrUn_AAEX03025494
NW_003728787.1 chrUn_AAEX03025495
NW_003728788.1 chrUn_AAEX03025496
NW_003728789.1 chrUn_AAEX03025497
NW_003728790.1 chrUn_AAEX03025498
NW_003728791.1 chrUn_AAEX03025499
NW_003728792.1 chrUn_AAEX03025500
NW_003728793.1 chrUn_AAEX03025501
NW_003728794.1 chrUn_AAEX03025502
NW_003728796.1 chrUn_AAEX03025505
NW_003728797.1 chrUn_AAEX03025506
NW_003728798.1 chrUn_AAEX03025507
NW_003728799.1 chrUn_AAEX03025508
NW_003728800.1 chrUn_AAEX03025509
NW_003728801.1 chrUn_AAEX03025510
NW_003728802.1 chrUn_AAEX03025511
NW_003728803.1 chrUn_AAEX03025512
NW_003728804.1 chrUn_AAEX03025513
NW_003728805.1 chrUn_AAEX03025514
NW_003728806.1 chrUn_AAEX03025515
NW_003728807.1 chrUn_AAEX03025516
NW_003728808.1 chrUn_AAEX03025517
NW_003728809.1 chrUn_AAEX03025518
NW_003728811.1 chrUn_AAEX03025521
NW_003728812.1 chrUn_AAEX03025522
NW_003728813.1 chrUn_AAEX03025523
NW_003728814.1 chrUn_AAEX03025524
NW_003728815.1 chrUn_AAEX03025525
NW_003728816.1 chrUn_AAEX03025526
NW_003728817.1 chrUn_AAEX03025527
NW_003728818.1 chrUn_AAEX03025528
NW_003728819.1 chrUn_AAEX03025529
NW_003728820.1 chrUn_AAEX03025530
NW_003728821.1 chrUn_AAEX03025531
NW_003728822.1 chrUn_AAEX03025532
NW_003728824.1 chrUn_AAEX03025536
NW_003728825.1 chrUn_AAEX03025537
NW_003728826.1 chrUn_AAEX03025538
NW_003728827.1 chrUn_AAEX03025539
NW_003728828.1 chrUn_AAEX03025540
NW_003728829.1 chrUn_AAEX03025541
NW_003728830.1 chrUn_AAEX03025542
NW_003728831.1 chrUn_AAEX03025543
NW_003728832.1 chrUn_AAEX03025544
NW_003728834.1 chrUn_AAEX03025547
NW_003728835.1 chrUn_AAEX03025548
NW_003728836.1 chrUn_AAEX03025549
NW_003728837.1 chrUn_AAEX03025550
NW_003728838.1 chrUn_AAEX03025551
NW_003728839.1 chrUn_AAEX03025552
NW_003728840.1 chrUn_AAEX03025553
NW_003728841.1 chrUn_AAEX03025554
NW_003728842.1 chrUn_AAEX03025555
NW_003728843.1 chrUn_AAEX03025556
NW_003728844.1 chrUn_AAEX03025557
NW_003728845.1 chrUn_AAEX03025558
NW_003728846.1 chrUn_AAEX03025559
NW_003728847.1 chrUn_AAEX03025560
NW_003728848.1 chrUn_AAEX03025561
NW_003728849.1 chrUn_AAEX03025562
NW_003728850.1 chrUn_AAEX03025563
NW_003728851.1 chrUn_AAEX03025564
NW_003728852.1 chrUn_AAEX03025565
NW_003728853.1 chrUn_AAEX03025566
NW_003728854.1 chrUn_AAEX03025567
NW_003728855.1 chrUn_AAEX03025568
NW_003728856.1 chrUn_AAEX03025569
NW_003728857.1 chrUn_AAEX03025570
NW_003728858.1 chrUn_AAEX03025571
NW_003728859.1 chrUn_AAEX03025572
NW_003728860.1 chrUn_AAEX03025573
NW_003728861.1 chrUn_AAEX03025574
NW_003728862.1 chrUn_AAEX03025575
NW_003728863.1 chrUn_AAEX03025576
NW_003728864.1 chrUn_AAEX03025577
NW_003728865.1 chrUn_AAEX03025578
NW_003728866.1 chrUn_AAEX03025579
NW_003728867.1 chrUn_AAEX03025580
NW_003728868.1 chrUn_AAEX03025581
NW_003728869.1 chrUn_AAEX03025582
NW_003728870.1 chrUn_AAEX03025583
NW_003728871.1 chrUn_AAEX03025584
NW_003728872.1 chrUn_AAEX03025585
NW_003728873.1 chrUn_AAEX03025586
NW_003728874.1 chrUn_AAEX03025587
NW_003728875.1 chrUn_AAEX03025588
NW_003728876.1 chrUn_AAEX03025589
NW_003728877.1 chrUn_AAEX03025590
NW_003728878.1 chrUn_AAEX03025591
NW_003728879.1 chrUn_AAEX03025592
NW_003728880.1 chrUn_AAEX03025593
NW_003728881.1 chrUn_AAEX03025594
NW_003728882.1 chrUn_AAEX03025595
NW_003728883.1 chrUn_AAEX03025596
NW_003728884.1 chrUn_AAEX03025597
NW_003728885.1 chrUn_AAEX03025598
NW_003728886.1 chrUn_AAEX03025599
NW_003728887.1 chrUn_AAEX03025600
NW_003728888.1 chrUn_AAEX03025601
NW_003728889.1 chrUn_AAEX03025602
NW_003728890.1 chrUn_AAEX03025603
NW_003728891.1 chrUn_AAEX03025604
NW_003728892.1 chrUn_AAEX03025605
NW_003728893.1 chrUn_AAEX03025606
NW_003728894.1 chrUn_AAEX03025607
NW_003728895.1 chrUn_AAEX03025608
NW_003728896.1 chrUn_AAEX03025609
NW_003728897.1 chrUn_AAEX03025610
NW_003728898.1 chrUn_AAEX03025611
NW_003728899.1 chrUn_AAEX03025612
NW_003728900.1 chrUn_AAEX03025613
NW_003728901.1 chrUn_AAEX03025614
NW_003728902.1 chrUn_AAEX03025615
NW_003728903.1 chrUn_AAEX03025616
NW_003728904.1 chrUn_AAEX03025617
NW_003728905.1 chrUn_AAEX03025618
NW_003728906.1 chrUn_AAEX03025619
NW_003728907.1 chrUn_AAEX03025620
NW_003728908.1 chrUn_AAEX03025621
NW_003728909.1 chrUn_AAEX03025622
NW_003728910.1 chrUn_AAEX03025623
NW_003728911.1 chrUn_AAEX03025624
NW_003728913.1 chrUn_AAEX03025627
NW_003728914.1 chrUn_AAEX03025628
NW_003728915.1 chrUn_AAEX03025629
NW_003728916.1 chrUn_AAEX03025630
NW_003728917.1 chrUn_AAEX03025631
NW_003728918.1 chrUn_AAEX03025632
NW_003728919.1 chrUn_AAEX03025633
NW_003728920.1 chrUn_AAEX03025634
NW_003728921.1 chrUn_AAEX03025635
NW_003728922.1 chrUn_AAEX03025636
NW_003728923.1 chrUn_AAEX03025637
NW_003728924.1 chrUn_AAEX03025638
NW_003728925.1 chrUn_AAEX03025639
NW_003728926.1 chrUn_AAEX03025640
NW_003728927.1 chrUn_AAEX03025641
NW_003728928.1 chrUn_AAEX03025642
NW_003728929.1 chrUn_AAEX03025643
NW_003728930.1 chrUn_AAEX03025644
NW_003728931.1 chrUn_AAEX03025645
NW_003728932.1 chrUn_AAEX03025646
NW_003728933.1 chrUn_AAEX03025647
NW_003728934.1 chrUn_AAEX03025648
NW_003728935.1 chrUn_AAEX03025649
NW_003728937.1 chrUn_AAEX03025652
NW_003728938.1 chrUn_AAEX03025653
NW_003728939.1 chrUn_AAEX03025654
NW_003728940.1 chrUn_AAEX03025655
NW_003728941.1 chrUn_AAEX03025656
NW_003728942.1 chrUn_AAEX03025657
NW_003728943.1 chrUn_AAEX03025658
NW_003728944.1 chrUn_AAEX03025659
NW_003728945.1 chrUn_AAEX03025660
NW_003728946.1 chrUn_AAEX03025661
NW_003728947.1 chrUn_AAEX03025662
NW_003728948.1 chrUn_AAEX03025663
NW_003728949.1 chrUn_AAEX03025664
NW_003728950.1 chrUn_AAEX03025665
NW_003728951.1 chrUn_AAEX03025666
NW_003728952.1 chrUn_AAEX03025667
NW_003728953.1 chrUn_AAEX03025668
NW_003728954.1 chrUn_AAEX03025669
NW_003728955.1 chrUn_AAEX03025670
NW_003728956.1 chrUn_AAEX03025671
NW_003728957.1 chrUn_AAEX03025672
NW_003728959.1 chrUn_AAEX03025675
NW_003728960.1 chrUn_AAEX03025676
NW_003728961.1 chrUn_AAEX03025677
NW_003728962.1 chrUn_AAEX03025678
NW_003728963.1 chrUn_AAEX03025679
NW_003728964.1 chrUn_AAEX03025680
NW_003728965.1 chrUn_AAEX03025681
NW_003728966.1 chrUn_AAEX03025682
NW_003728967.1 chrUn_AAEX03025683
NW_003728968.1 chrUn_AAEX03025684
NW_003728969.1 chrUn_AAEX03025685
